  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.0, -0.0, 0.0]
  left_ear:[0.061, -0.789, 2.42]  right_ear:[0.0, -0.0, 0.0]  nose:[0.0, -0.0, 0.0]
  left_ear:[0.023, -0.265, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.023, -0.263, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.09, -0.268, 0.76]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.0, -0.0, 0.0]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.087, -0.264, 0.75]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.158, -0.261, 0.78]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.02, -0.257, 0.79]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.267, 0.82]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.019, -0.277, 0.85]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.019, -0.273, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
  left_ear:[0.021, -0.271, 0.83]  right_ear:[0.0, -0.0, 0.0]  nose:[0.088, -0.268, 0.76]
